,FOOD COMMODITY GROUP,Food commodity ITEM,Carbon Footprint kg CO2eq/kg or l of food ITEM,CO2 Footprint Uncertainty,Water Footprint kg,Water Footprint Uncertainty
0,AGRICULTURAL PROCESSED,BEER IN CAN,0.693,L,,
1,AGRICULTURAL PROCESSED,BEER IN GLASS,0.9605,L,,
2,AGRICULTURAL PROCESSED,BEER MODULAR CAN,0.5306,L,,
3,AGRICULTURAL PROCESSED,CHOCOLATE OR CREAM FILLED COOKIES**,1.533,L,2902.0,L
4,AGRICULTURAL PROCESSED,SIMPLE COOKIES**,1.39075,L,1723.0,L
5,AGRICULTURAL PROCESSED,MINERAL WATER*,0.491,H,,
6,AGRICULTURAL PROCESSED,BREAD MULTICEREAL**,0.703,H,771.0,L
7,AGRICULTURAL PROCESSED,BREAD PLAIN**,0.885,L,1031.0,L
8,AGRICULTURAL PROCESSED,BREAD WHOLE**,0.772,L,887.0,L
9,AGRICULTURAL PROCESSED,BREAD FROZEN (F)*,1.31,H,,
10,AGRICULTURAL PROCESSED,CORNFLAKES*,2.64,H,,
11,AGRICULTURAL PROCESSED,DARK CHOCOLATE,2.71,H,,
12,AGRICULTURAL PROCESSED,MILK CHOCOLATE,3.6,H,,
13,AGRICULTURAL PROCESSED,COFFEE GROUND,5.129285715,H,,
14,AGRICULTURAL PROCESSED,COFFEE PARCHMENT,8.29,L,,
15,AGRICULTURAL PROCESSED,COFFEE DRIP FILTERED (L),0.595,H,,
16,AGRICULTURAL PROCESSED,COFFEE SOLUBLE POWDER (L),0.33,H,,
17,AGRICULTURAL PROCESSED,ESPRESSO (L),0.55,H,,
18,AGRICULTURAL PROCESSED,FLAVORED CRACKERS**,0.9265,L,1378.0,L
19,AGRICULTURAL PROCESSED,PLAIN CRACKERS**,1.34825,L,1447.0,L
20,AGRICULTURAL PROCESSED,WHOLEGRAIN CRACKERS**,0.9725,L,617.0,L
21,AGRICULTURAL PROCESSED,CRISPBREAD**,1.348,L,1423.0,L
22,AGRICULTURAL PROCESSED,KETCHUP,1.464,H,534.0,L
23,AGRICULTURAL PROCESSED,MAYONNAISE,2.04,H,,
24,AGRICULTURAL PROCESSED,TEMPE',1.1,H,,
25,AGRICULTURAL PROCESSED,EGG PASTA*,3.1511,L,4637.0,H
26,AGRICULTURAL PROCESSED,RASPBERRIES (F)*,1.175,H,,
27,AGRICULTURAL PROCESSED,APPLE JUICE (I),2.84,H,,
28,AGRICULTURAL PROCESSED,BLUEBERRY JUICE (I),3.0,H,,
29,AGRICULTURAL PROCESSED,CRANBERRY JUICE (I),2.88,H,,
30,AGRICULTURAL PROCESSED,FIG JUICE (I),3.2,H,,
31,AGRICULTURAL PROCESSED,KIWI JUICE (I),2.84,H,,
32,AGRICULTURAL PROCESSED,MANGO JUICE (I),2.96,H,,
33,AGRICULTURAL PROCESSED,PINEAPPLE JUICE (I),2.78,H,,
34,AGRICULTURAL PROCESSED,STRAWBERRY JUICE (I),2.68,H,,
35,AGRICULTURAL PROCESSED,ORANGE JUICE,0.461,L,1019.0,L
36,AGRICULTURAL PROCESSED,PEAR JUICE,0.49045,H,,
37,AGRICULTURAL PROCESSED,BUCKWHEAT FLOUR,1.96,H,,
38,AGRICULTURAL PROCESSED,DURUM WHEAT,0.46712,L,,
39,AGRICULTURAL PROCESSED,GRAHAM FLOUR,0.47,H,,
40,AGRICULTURAL PROCESSED,MAIZE FLOUR,1.31,H,,
41,AGRICULTURAL PROCESSED,MILLET FLOUR,1.37,H,,
42,AGRICULTURAL PROCESSED,OAT MEAL,0.87,L,2536.0,L
43,AGRICULTURAL PROCESSED,SORGHUM FLOUR,1.33,H,,
44,AGRICULTURAL PROCESSED,WHEAT PLAIN FLOUR,0.52,L,,
45,AGRICULTURAL PROCESSED,WHOLE WHEAT FLOUR,0.3647164179,L,,
46,AGRICULTURAL PROCESSED,CHOCOLATE,6.6,H,17196.0,L
47,AGRICULTURAL PROCESSED,ICE CREAM,1.02,H,,
48,AGRICULTURAL PROCESSED,VANILLA,4.3,H,,
49,AGRICULTURAL PROCESSED,AZUKI BEAN FLOUR,1.32,H,,
50,AGRICULTURAL PROCESSED,MUNG BEAN FLOUR,1.49,H,,
51,AGRICULTURAL PROCESSED,SOY MEAL,0.62,H,,
52,AGRICULTURAL PROCESSED,BEANS IN CAN,0.109,H,,
